Open;High;Low;Close;Volume;10dPerf
3759.83;3903.92;3745.18;3896.38;10174126415;-0.0594202093889482
3845.09;3867.38;3733.75;3761.56;9029175788;-0.0609082942831536
3862.27;3875.48;3836.91;3847.18;7253558152;-0.0270452085419765
3855.32;3874.61;3832.13;3864.42;7578786076;-0.0338515233185493
3853.76;3907.8;3851.69;3859.58;7661247975;-0.0221707637778719
3848.26;3906.06;3845.82;3854.79;8399767798;-0.0155578426390106
3857.48;3888.8;3787.06;3851.05;8301309684;0.0482356335605252
3878.7;3891.58;3837.99;3854.36;7931218996;0.0618685929489033
3807;3913.71;3807;3882.7;9318796067;0.0723291197273539
4145.46;4210.64;3793.71;3810.43;10794227451;0.0535129725066907
3998.92;4166.29;3968.73;4142.53;8922258316;0.140542445492515
3952.41;4006.54;3950.82;4005.53;7826525254;0.0963451784986027
4000.26;4010.01;3940.11;3954.12;7775128102;0.0837867247007618
3946.68;4000.49;3926.25;3999.82;8693373948;0.0839062487297402
3911.66;4010.88;3908.15;3947.09;9933626655;0.0751498147744607
3671.37;3936.67;3669.98;3915.71;9908216640;0.0678879016466762
3633.36;3680.54;3619.18;3673.84;7039512503;0.0807096400321228
3615.27;3652.84;3615.27;3629.79;5934744052;0.0632790141104995
3617.37;3647.8;3608.21;3620.81;6091952231;0.0445568261807774
3631.17;3646.26;3607.7;3616.88;6271044418;0.0455979070002746
3653.6;3669.75;3617.25;3632.07;6438903823;0.0485160262239428
3642.75;3668.59;3618.56;3653.53;6480384532;0.0376221933167853
3695.61;3695.61;3642.29;3648.43;6277056434;0.0460098338565633
3673.2;3695.04;3640.98;3690.19;6282256903;0.0672105593457093
3671.59;3679.94;3646.56;3671.2;6158833645;0.0530724173737442
3401.38;3695.61;3391.02;3666.78;7735623101;0.063414266324838
3414.93;3427.95;3394.22;3399.47;5004962683;-0.0204526790473858
3469.09;3469.09;3398.57;3413.77;5482196038;-0.0474892367960669
3454.95;3478.15;3451.94;3466.36;5227549545;-0.0377797394002987
3467.21;3476.22;3442.59;3459.15;5332718886;-0.0390636068415482
3516.14;3521.39;3447.92;3464.01;5043937584;-0.038007481525298
3484.63;3523.29;3467.57;3521.06;5071623601;-0.0178683000847949
3460.55;3501.95;3431.59;3487.95;5422926707;-0.0323560581260508
3485.41;3504.8;3447.92;3457.79;5831198271;-0.0330645995699141
3443.9;3495.17;3429.39;3486.18;5955112627;-0.0318882757892925
3468.87;3476.07;3400.82;3448.12;5897159493;-0.0752165039143694
3584.28;3586.75;3439.23;3470.45;6908930483;-0.0512296874658269
3604.69;3612.67;3567.25;3583.97;5570752966;-0.025713866295507
3599.72;3654.93;3593.35;3602.46;5098183235;-0.0143775256428847
3607.39;3612.93;3575.6;3599.77;5265847539;-0.00851355668910503
3584.5;3616.09;3569.09;3600.87;5262869046;-0.0283806208766747
3605.56;3623.07;3565.31;3585.12;5433755649;0.00905444771246433
3575.08;3620.75;3539.72;3604.58;5313623556;-0.0154917652200038
3600.37;3608.84;3558.54;3576.03;5004347059;-0.0301949628054683
3725.45;3743.39;3583.02;3601.01;5582489560;-0.021177410761854
3652.38;3758.53;3652.38;3728.57;5955691380;-0.0760116967759522
3677.99;3682.52;3637.08;3657.84;5002961727;-0.0925387945470558
3651.87;3680.14;3621.96;3678.56;5464420383;-0.0861288118750388
3631.51;3685.78;3624.67;3655.01;5394457145;-0.103423661210363
3704.22;3720.15;3619.95;3630.68;5537192302;-0.0557865801169773
3557.31;3727.84;3552.29;3706.05;5651384490;-0.0393159690179691
3658.87;3674.76;3544.93;3552.95;4681302466;-0.0739664402591783
3686.97;3698.98;3653.81;3661.3;4778170883;-0.0715396065841492
3674.02;3713.88;3653.07;3687.37;5538712865;-0.0406268212471901
4034.41;4064.07;3659.17;3678.92;6874143796;-0.0170411734843828
4031.55;4068.4;4022.66;4035.3;5115905225;0.0438055329220504
4028.47;4109.02;3996.96;4030.85;5306593305;0.0550830931758632
4078.59;4092.61;4020.89;4025.25;5228625637;0.0258236661297886
3836.52;4093.3;3826.51;4076.63;5597027440;0.115408924628505
3851.97;3904.9;3836.9;3845.19;5137609824;-0.0031395017240039
3832.04;3865.93;3783.85;3857.72;4847965467;0.0110680410641883
3931.05;3935.69;3826.22;3836.74;4530215219;-0.0592997597214731
3849.22;3947.98;3817.41;3943.41;5244856836;-0.0138960434910903
3746.71;3850.91;3707.23;3843.52;4324200990;-0.0425142868531057
3866.84;3868.74;3725.87;3742.7;4661840806;-0.0394811807398359
3822.38;3901.91;3797.22;3865.95;4770578575;-0.0649398709377811
3932.49;3963.76;3820.41;3820.41;4991655917;0.0198774676650784
3653.13;3956.14;3642.63;3923.92;5631554348;0.0616494320979639
3854.69;3874.42;3645.45;3654.83;5130222366;0.030731613769297
3819.67;3893.36;3769.86;3857.3;5326547918;0.185825309575632
4081.03;4089.56;3760.02;3815.49;6158207293;0.17879916953991
4000.33;4271.79;4000.33;4078.6;7240968501;0.257864350743875
4020.99;4085.72;3976.41;3998.98;6151275490;0.206809347915309
3898.08;4014.18;3855.74;4014.18;5605823233;0.151200906236109
4133.7;4198.43;3850.95;3896.54;7206015706;0.13781211765496
3742.2;4191.23;3728.97;4134.44;8927129279;0.180371489096858
3706.82;3949.32;3687.23;3745.95;6810689119;0.0364448305724869
3544.76;3701.35;3487.17;3696.06;5911325473;0.0632747525250927
3253.12;3597.92;3253.12;3545.86;5409247918;0.0368193594039661
